[2026-04-08 16:30:20] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TBillValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TBondValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TBondValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalCashBalance,245383.7915,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalCashBalance,245383.7915,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalCashValue,245383.79,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalCashValue-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalCashValue-S,245383.79,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalDebitCardPendingCharges,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalDebitCardPendingCharges-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TotalDebitCardPendingCharges-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,TradingType-S,STKNOPT,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,UnrealizedPnL,2842.14,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,UnrealizedPnL,2842.14,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,WarrantValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,WarrantValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 7,8,770561194,MES,FUT,20260618,0,0,5,CME,USD,MESM6,MES,3,6835.10009765,102526.5,33228.12,2842.14,0.0,DUM165609
[2026-04-08 16:30:27] INFO     | ib_insync.wrapper      | updatePortfolio: PortfolioItem(contract=Future(conId=770561194, symbol='MES', lastTradeDateOrContractMonth='20260618', right='0', multiplier='5', primaryExchange='CME', currency='USD', localSymbol='MESM6', tradingClass='MES'), position=3.0, marketPrice=6835.10009765, marketValue=102526.5, averageCost=33228.12, unrealizedPNL=2842.14, realizedPNL=0.0, account='DUM165609')
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 8,1,16:27
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 8,1,16:27
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 54,1,DUM165609
[2026-04-08 16:30:42] ERROR    | ib_insync.ib           | positions request timed out
[2026-04-08 16:30:42] ERROR    | ib_insync.ib           | open orders request timed out
[2026-04-08 16:30:42] ERROR    | ib_insync.ib           | completed orders request timed out
[2026-04-08 16:30:42] ERROR    | ib_insync.ib           | account updates for DUM165609 request timed out
[2026-04-08 16:30:42] DEBUG    | ib_insync.client       | >>> 7,3,2,0,,,,,,
[2026-04-08 16:30:42] INFO     | ib_insync.ib           | Disconnecting from 127.0.0.1:4002, 118 B sent in 8 messages, 7.33 kB received in 157 messages, session time 15.3 s.
[2026-04-08 16:30:42] INFO     | ib_insync.client       | Disconnecting
[2026-04-08 16:30:42] INFO     | trading.broker         | Disconnected from IBKR
[2026-04-08 16:30:42] INFO     | trading.db             | Database connection closed
[2026-04-08 16:32:14] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:32:14] INFO     | trading.db             | Database connection closed
[2026-04-08 16:33:06] DEBUG    | asyncio                | Using selector: KqueueSelector
[2026-04-08 16:33:06] INFO     | trading.main           | ============================================================
[2026-04-08 16:33:06] INFO     | trading.main           |   TRADING FRAMEWORK – STARTING
[2026-04-08 16:33:06] INFO     | trading.main           | ============================================================
[2026-04-08 16:33:06] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:33:06] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 1/3)
[2026-04-08 16:33:06] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 27...
[2026-04-08 16:33:06] INFO     | ib_insync.client       | Connected
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | <<< 176,20260408 16:33:06 India Standard Time
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | >>> 71,2,27,
[2026-04-08 16:33:06] INFO     | ib_insync.client       | Logged on to server version 176
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | <<< 15,1,DUM165609
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | <<< 9,1,1
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | <<< 4,2,-1,2110,Connectivity between Trader Workstation and server is broken. It will be restored automatically.,
[2026-04-08 16:33:06] INFO     | ib_insync.wrapper      | Warning 2110, reqId -1: Connectivity between Trader Workstation and server is broken. It will be restored automatically.
[2026-04-08 16:33:06] INFO     | ib_insync.client       | API connection ready
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | >>> 61,1
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | >>> 5,1
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | >>> 99,0
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | >>> 6,2,1,DUM165609
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | >>> 76,1,1,DUM165609,,0
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | <<< 4,2,-1,2103,Market data farm connection is broken:usfarm,
[2026-04-08 16:33:06] INFO     | ib_insync.wrapper      | Warning 2103, reqId -1: Market data farm connection is broken:usfarm
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | <<< 4,2,-1,2105,HMDS data farm connection is broken:ushmds,
[2026-04-08 16:33:06] INFO     | ib_insync.wrapper      | Warning 2105, reqId -1: HMDS data farm connection is broken:ushmds
[2026-04-08 16:33:06] DEBUG    | ib_insync.client       | <<< 4,2,-1,2157,Sec-def data farm connection is broken:secdefil,
[2026-04-08 16:33:06] INFO     | ib_insync.wrapper      | Warning 2157, reqId -1: Sec-def data farm connection is broken:secdefil
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccountCode,DUM165609,,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccountOrGroup,DUM165609,BASE,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccountOrGroup,DUM165609,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccountReady,true,,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccountType,CORPORATION,,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash,121.43,BASE,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash,121.43,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash-P,0.00,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash-S,121.43,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccruedDividend,0.00,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccruedDividend-P,0.00,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AccruedDividend-S,0.00,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AvailableFunds,236276.47,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AvailableFunds-P,0.00,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,AvailableFunds-S,236276.47,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,Billable,0.00,USD,DUM165609
[2026-04-08 16:33:07] DEBUG    | ib_insync.client       | <<< 6,2,Billable-P,0.00,USD,DUM165609
